Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","570","Figs dried","2017","2017","tonnes","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","1232","Food prep nes","2009","2009","tonnes","10","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","1232","Food prep nes","2010","2010","tonnes","3","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","1232","Food prep nes","2011","2011","tonnes","6","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","1232","Food prep nes","2017","2017","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","1232","Food prep nes","2014","2014","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","1232","Food prep nes","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","620","Fruit, dried nes","2010","2010","tonnes","2","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","620","Fruit, dried nes","2014","2014","tonnes","8","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","620","Fruit, dried nes","2015","2015","tonnes","13","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","620","Fruit, dried nes","2016","2016","tonnes","3","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","620","Fruit, dried nes","2017","2017","tonnes","10","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","623","Fruit, prepared nes","2017","2017","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","870","Meat, cattle, boneless (beef & veal)","2014","2014","tonnes","164","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","870","Meat, cattle, boneless (beef & veal)","2015","2015","tonnes","76","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","870","Meat, cattle, boneless (beef & veal)","2016","2016","tonnes","78","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","977","Meat, sheep","2014","2014","tonnes","12","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","977","Meat, sheep","2015","2015","tonnes","30","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","977","Meat, sheep","2016","2016","tonnes","19","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","977","Meat, sheep","2017","2017","tonnes","25","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","898","Milk, skimmed dried","2010","2010","tonnes","95","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","898","Milk, skimmed dried","2011","2011","tonnes","10","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","234","Nuts nes","2014","2014","tonnes","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","234","Nuts nes","2015","2015","tonnes","2","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","234","Nuts nes","2017","2017","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","235","Nuts, prepared (exc. groundnuts)","2016","2016","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","235","Nuts, prepared (exc. groundnuts)","2017","2017","tonnes","2","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","339","Oilseeds nes","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","22","Pastry","2014","2014","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","537","Plums dried (prunes)","2010","2010","tonnes","0","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","537","Plums dried (prunes)","2015","2015","tonnes","2","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","537","Plums dried (prunes)","2016","2016","tonnes","1","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","537","Plums dried (prunes)","2017","2017","tonnes","2","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","561","Raisins","2009","2009","tonnes","4","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","561","Raisins","2010","2010","tonnes","268","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","561","Raisins","2011","2011","tonnes","30","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","561","Raisins","2014","2014","tonnes","846","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","561","Raisins","2015","2015","tonnes","542","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","561","Raisins","2016","2016","tonnes","60","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","561","Raisins","2017","2017","tonnes","34","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","2010","2010","tonnes","32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","31","Rice, milled","2010","2010","tonnes","32","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","723","Spices nes","2014","2014","tonnes","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","723","Spices nes","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","723","Spices nes","2017","2017","tonnes","5","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","1225","Tallow","2016","2016","tonnes","106","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","473","Vegetables, frozen","2010","2010","tonnes","52","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","472","Vegetables, preserved nes","2014","2014","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","472","Vegetables, preserved nes","2017","2017","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5610","Import Quantity","900","Whey, dry","2015","2015","tonnes","14","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","892","Yoghurt, concentrated or not","2010","2010","tonnes","2","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","10","Australia","5910","Export Quantity","892","Yoghurt, concentrated or not","2011","2011","tonnes","2","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","221","Almonds, with shell","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","527","Apricots, dry","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","527","Apricots, dry","2017","2017","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","633","Beverages, non alcoholic","2010","2010","tonnes","184","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","633","Beverages, non alcoholic","2011","2011","tonnes","1312","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","633","Beverages, non alcoholic","2014","2014","tonnes","2397","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","633","Beverages, non alcoholic","2015","2015","tonnes","2091","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","633","Beverages, non alcoholic","2016","2016","tonnes","1681","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","633","Beverages, non alcoholic","2017","2017","tonnes","1833","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","633","Beverages, non alcoholic","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","907","Cheese, processed","2014","2014","tonnes","85","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","907","Cheese, processed","2015","2015","tonnes","106","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","907","Cheese, processed","2016","2016","tonnes","106","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","907","Cheese, processed","2017","2017","tonnes","106","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","901","Cheese, whole cow milk","2010","2010","tonnes","21","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","901","Cheese, whole cow milk","2011","2011","tonnes","33","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","901","Cheese, whole cow milk","2017","2017","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","191","Chick peas","2017","2017","tonnes","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","666","Chocolate products nes","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","666","Chocolate products nes","2014","2014","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","666","Chocolate products nes","2017","2017","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","1232","Food prep nes","2009","2009","tonnes","4","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","1232","Food prep nes","2010","2010","tonnes","1","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","1232","Food prep nes","2014","2014","tonnes","9","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","1232","Food prep nes","2015","2015","tonnes","38","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","1232","Food prep nes","2016","2016","tonnes","179","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","1232","Food prep nes","2017","2017","tonnes","274","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","620","Fruit, dried nes","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","620","Fruit, dried nes","2016","2016","tonnes","18","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","620","Fruit, dried nes","2017","2017","tonnes","19","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","173","Lactose","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","497","Lemons and limes","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5610","Import Quantity","22","Pastry","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","223","Pistachios","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","561","Raisins","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","561","Raisins","2017","2017","tonnes","15","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","723","Spices nes","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","723","Spices nes","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","723","Spices nes","2017","2017","tonnes","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","232","Walnuts, shelled","2014","2014","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","232","Walnuts, shelled","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","11","Austria","5910","Export Quantity","232","Walnuts, shelled","2017","2017","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","893","Buttermilk, curdled, acidified milk","2014","2014","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","666","Chocolate products nes","2014","2014","tonnes","33","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","16","Flour, wheat","2014","2014","tonnes","40","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","1232","Food prep nes","2009","2009","tonnes","4","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","1232","Food prep nes","2014","2014","tonnes","32","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","889","Milk, whole condensed","2014","2014","tonnes","38","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","882","Milk, whole fresh cow","2014","2014","tonnes","484","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","268","Oil, sunflower","2014","2014","tonnes","16","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","30","Rice - total  (Rice milled equivalent)","2014","2014","tonnes","16","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","164","Sugar refined","2009","2009","tonnes","16153","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","164","Sugar refined","2010","2010","tonnes","20926","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","164","Sugar refined","2011","2011","tonnes","3153","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","164","Sugar refined","2014","2014","tonnes","99113","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","667","Tea","2014","2014","tonnes","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","15","Wheat","2009","2009","tonnes","88","","Official data"
"TM","Detailed trade matrix","2","Afghanistan","52","Azerbaijan","5610","Import Quantity","891","Yoghurt","2014","2014","tonnes","491","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","231","Almonds shelled","2014","2014","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","231","Almonds shelled","2015","2015","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","231","Almonds shelled","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","221","Almonds, with shell","2015","2015","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","221","Almonds, with shell","2016","2016","tonnes","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","711","Anise, badian, fennel, coriander","2015","2015","tonnes","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","526","Apricots","2014","2014","tonnes","15","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","526","Apricots","2015","2015","tonnes","23","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","526","Apricots","2016","2016","tonnes","7","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","527","Apricots, dry","2014","2014","tonnes","4","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","527","Apricots, dry","2015","2015","tonnes","7","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","527","Apricots, dry","2016","2016","tonnes","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","176","Beans, dry","2016","2016","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","229","Brazil nuts, shelled","2014","2014","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","893","Buttermilk, curdled, acidified milk","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","217","Cashew nuts, with shell","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","693","Cinnamon (cannella)","2016","2016","tonnes","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","249","Coconuts","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","577","Dates","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","569","Figs","2014","2014","tonnes","2","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","569","Figs","2015","2015","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","569","Figs","2016","2016","tonnes","2","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5610","Import Quantity","1232","Food prep nes","2014","2014","tonnes","56","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5610","Import Quantity","1232","Food prep nes","2015","2015","tonnes","215","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5610","Import Quantity","1232","Food prep nes","2016","2016","tonnes","71","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","1232","Food prep nes","2014","2014","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","1232","Food prep nes","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","1232","Food prep nes","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","620","Fruit, dried nes","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","620","Fruit, dried nes","2016","2016","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","623","Fruit, prepared nes","2015","2015","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","623","Fruit, prepared nes","2016","2016","tonnes","0","R","Estimated data using trading partners database"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","560","Grapes","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","243","Groundnuts, shelled","2015","2015","tonnes","0","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","497","Lemons and limes","2014","2014","tonnes","1","*","Unofficial figure"
"TM","Detailed trade matrix","2","Afghanistan","13","Bahrain","5910","Export Quantity","56","Maize","2014","2014","tonnes","0","*","Unofficial figure"
